,jobs
99,"Job Description
Amazon is seeking an exceptional Data Engineer to play a key role in building the infrastructure to support cutting edge compensation analytics. This is an opportunity to be on the ground level of building out a central analytics core team in compensation. You will work closely with leadership to drive innovative approaches, research and investigate best in class business review practices and drive new ways to think about employee compensation and derivative of this. This person will build new business intelligence solutions end-to-end, with opportunities to utilize big data and develop new ways to answer varied questions. The ideal candidate will be passionate about working with big data sets and have the expertise to utilize these datasets to answer business questions and drive for best in class analytics, dashboard design and new innovative approaches. You will have the opportunity to interact with customers to gather requirements and build innovative structured reporting solutions.
The primary responsibilities of this role include:
· Build, and maintain scalable, automated, user-friendly systems that will support our analytical and business needs
· Work with different stakeholders within and outside of compensation organization to integrate data sources to create a unified data infrastructure
· Scope, build, and maintain data infrastructures for new initiatives
Basic Qualifications
We’re looking for Data Engineers who have a passion for data and a passion for supplying their clients with that data. You know and love working with analytic tools, can write excellent SQL, can partner with customers to answer key business questions, and you are an advocate for your customers. You are analytical and creative, and you don’t quit. You should also have the following skills or experiences:
· Bachelor’s Degree in Computer Science or related field
· 3+ years of Industry experience as a Data Engineer or related specialty (e.g. Software Engineer, Business Intelligence Engineer, and Data Scientist) with extensive professional experience and a proven track record in a role focused on understanding, manipulating, processing and extracting value from large datasets.
· Intermediate experience in relational database concepts with an expert knowledge of SQL, Metadata management.
· Advanced analytical skills with passions on working with structural data sets
· Excellent communication skills and the ability to work well in a team.
· Demonstrated analytical, troubleshooting and problem-solving skills.


Preferred Qualifications
· Master degree in Computer Science, Engineering, Statistics, or Mathematics
· Expert in writing and tuning SQL scripts
· Experience working in very large data warehouse environments
· 5+ years of experience in a data engineer or BIE role with a technology company
· Knowledge of scripting for automation (e.g. Python, Perl, Ruby)
·Basic familiarity and working knowledge of Linux


Apply Now at Amazon"
100,"Are you passionate about solving interesting and challenging big data problems using large-scale analytics and algorithms? If yes, you could be a great fit for this role with the Customer Insights team at Groupon.
We are looking for a creative and innovative data scientist to drive strategic initiatives that will propel the future growth of Groupon. As part of this team you will focus on various data science problems including, but not limited to, personalization, customer affinities, customer preference, recommender system, email campaign targeting and product selection.
The main responsibility for this role is to leverage user signals to drive net adds for Groupon – via activations, reactivations, and reduced attrition. There are many ways to activate/reactivate customers, and the person in this role will help guide decisions on investing in channels, deals, verticals, etc. that drive maximum growth, while strengthening long term customer value.
Responsibilities
Drive growth in Groupon’s customer base by adding higher quality activations (w/ higher customer value) - focusing on quantity and quality, and mitigating attrition.
Help understand drivers of customer attrition, along with leading indicators to help develop initiatives to buck the trend.
Lead long term projects that aim to answer open ended questions. Show end to end ownership and leadership; ideation through productionalization. Flood the room with elegant data science solutions and best practices in machine learning.
Work closely with product and engineering teams to form good hypotheses on how to improve the customer experience. Design, execute and measure experiments to test these hypotheses. Productionalize solutions that show lift.
Interpret and communicate insights and findings from analyses and experiments to product, service, and business managers.
Collect, aggregate and analyze data from multiple internal and external sources to drive insights into customer behavior trends and interactions with various business verticals
Communicate findings and insight to stakeholders and provide business strategy recommendations for optimizing business performance
Requirements
Master’s degree or higher in Statistics or related field and 2-3+ years of relevant experience in data science and predictive modeling; including CRM related work.
Demonstrated ability to garner insights from large data and present them in to influence the business.
Ability to translate high level business problems into objective functions with concise and logical requirements
Predictive modeling, recommender system, data mining, machine learning, statistical analysis, and A/B testing;
R, Python, Spark, or similar data science modeling language;
Deployment of production data science models to drive business value;
SQL queries for data analysis on Teradata, Hive or similar parallel database;
Highly flexible, ability to handle changing directions/priorities and roles as business needs evolve
Proven problem solving skills; systematic, analytical thinker with strong communication skills
Groupon’s purpose is to build strong communities through thriving small businesses. To learn more about the world’s largest local ecommerce marketplace, click here for the latest Groupon news. Plus, be sure to check out the values that shape our culture, guide our strategy and make our company a great place to work. And just don’t take our word for it. Hear from real Groupon team members and learn more about our employee resource groups. If all of this sounds like something that’s a great fit for you, then click apply and let’s see where this takes us."
101,"Job Description

Alexa Preview is the team that puts every new cutting-edge Echo device, Alexa feature, and new Alexa languages in the hands of beta and actual customers. We gather early data and insights, customer satisfaction, and even machine learning model gaps. We predict the success of product launches using pre- and post-launch customer data. Our work results in launching everything on Alexa to be better and of higher quality, and is therefore highly visible.

The Preview team is looking for an experienced Data Engineer who relishes working with extremely large volumes of data, enjoys the challenge of highly complex technical contexts, and above all, is passionate about data. In this role, you’ll be a member of the Alexa Preview team, partnering closely with product managers, software engineers, and research scientists where you will be defining core success metrics, building data pipelines and dashboard experiences for these metrics, and analyzing whether we are successful.

The person who takes this role is an expert with data warehouse architecture, data modeling, data processing using distributed compute solutions and uses these super-powers to assist data scientists, business analysts and other business stakeholders in identifying strategic opportunities where improvements in data infrastructure creates out-sized business impact.

This position requires expertise in ingesting and processing large scale datasets. It is a plus if he/she is proficient in at least one programming language, such as Python, and can partner with software development engineers as needed. He/she should be a self-starter, comfortable with ambiguity, able to think big (while paying careful attention to detail), possess excellent communication skills and enjoy working on a fast-paced and global team. This job also involves opportunities to partner with research to build data science skills.


Role Expectations:
· Own data engineering, BI roadmap, and execution process; Determine how to ingest and store the data we use and ensure it is clean and usable and if we have data gaps. Work with our stakeholders to advocate for our data.
· Work closely with Research Science, Product Management, and SDMs to build a dashboard of key metrics that indicate our diverse beta programs' success
· Analyze customer/beta participant behavior and experience to uncover trends and root causes of issues; use visualizations to illustrate trends to the team and stakeholders.
·Work with Research Science to pipe needed data and develop deep dive tools for key metrics.


Basic Qualifications
Bachelor’s degree in Computer Science, Engineering, Mathematics, or a related field.
4+ Years of Data Warehouse Experience with Oracle, Redshift, PostgreSQL, etc.
4+ Years experience with SQL, data modeling, ETL development, and data warehousing.
4+ years experience in maintaining data warehouse systems and working on large scale data transformation using AWS technologies, such as S3 and Redshift.
Experience with an enterprise class BI tool like Micro Strategy, Business Objects, Tableau, Oracle Business Intelligence
Preferred Qualifications
Experience in designing and delivering cross functional custom reporting solutions.
Excellent oral and written communication skills including the ability to communicate effectively with both technical and non-technical stakeholders.
Literate in at least one coding language, such as Python
Proven ability to meet tight deadlines, multi-task, and prioritize workload
Strong analytical and problem solving skills.
Ability to communicate effectively with both technical and non-technical individuals.
Excellent oral and written communication skills
Track record for being detail-oriented with a demonstrated ability to self-motivate and follow-through on projects
A desire to work in a collaborative, intellectually curious environment.

Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation



Apply Now at Amazon"
102,"Minimum qualifications:
Currently pursuing a PhD in a quantitative discipline (e.g. statistics, biostatistics, computer science, applied mathematics, operations research, economics ) or another discipline involving experimental design and quantitative analysis of data.
Experience using technology to work with datasets such as Scripting, Python, statistical software (R, SAS or similar).
Experience with statistical data analysis such as linear models, multivariate analysis, stochastic models, and sampling methods.
Available to work full-time for 12-14 weeks.
Preferred qualifications:
Available to start in January, May or June 2019 and returning to a degree program after the internship ends.
Strong track record of developing intellectual capital such as published works.
Authorization to work in the United States.
Google's statisticians and data scientists/quantitative analysts work within our Software Engineering organization, including Life Sciences, Geo, Project Aura, Technical Infrastructure, and Advertising. We analyze huge sets of data and continually run live experiments in order to help drive critical decisions at Google. We support the development of innovative, highly scalable, next-generation technologies through deep research and advanced analysis.

Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to address some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications, and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.
Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed; Conduct end-to-end analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.
Interact cross-functionally with a wide variety of people and teams. Work closely with engineers to identify opportunities for, design, and assess improvements to Google products.
Provide research on topics including Google's business model and novel search techniques.
Produce quantitative and qualitative modeling of business dynamics, user behavior, etc."
103,"The Microsoft Cloud+AI Design team is looking for a Senior Data Scientist to join our Experience Analytics team ? we work hard, have fun, and value collaboration and individuality in each other. As a team, we?re passionate about maximizing the impact of Data Science work on Design and Product decisions, and we are leading discussions in this area within Microsoft and beyond.

Join us if you want to impact how millions of users use the cloud and all the services it enables. Our customers range from people with highly technical skills to information workers working with cloud enabled devices and services. Our product portfolio includes Dynamics, Azure, Power BI, PowerApps, Flow, and more.

The mission of the Experience Analytics team is to leverage product telemetry to unpack the nuance behind our customers? end-to-end journeys and drive design decisions. As a Data Scientist on the Experience Analytics team, you?ll answer key questions about users, their in-product workflow, and the quality of the user experience for your product. You will partner with Design Researchers to build a deep understanding of users, competition and market, and conduct analyses in a fast-paced, agile environment. You?ll have experience conducting a variety of analyses in different situations, from exploratory analyses to generate hypotheses, to building statistical models that quantify the impact of particular design changes. You?ll inspire change at all stages of product development by delivering exciting oral, written and visual presentations about your findings. Your primary job as an advocate for our users is to help the product team understand what would make a user?s experiences natural, useful and delightful.
*Responsibilities**
*Responsibilities**
+ Work closely with product teams to identify research questions, and partner with Engineering to ensure that the right data is being collected to answer those questions

+ Conduct analyses that can help product teams explain the context behind their business metrics results, through a detailed breakdown of the behaviors and characteristics that users exhibit while using the product

+ Set the standard for data and analysis excellence across multiple product areas; serve as a mentor for other Data Scientists working on these products to maximize the team?s impact

+ Communicate your findings in a clear, concise, and visual (when appropriate) manner to our key stakeholders on the product and design teams, and drive meaningful action based on those findings

+ Proactively engage in a culture of peer review, both as a reviewer and a reviewee. We pride ourselves on a data-driven culture, and as such, value transparency, cross-sharing, and respectful critiques to put forward our best analysis for each and every research question

+ Work cross-functionally with Design Researchers, Visual / Interaction / Content Designers, Program Managers and Software Engineers in a fast-moving Agile environment
*Qualifications for the role**
+ A Master?s Degree or PhD in Data Science, Cognitive Science, Information Science, Human-Computer Interaction, Statistics, or a similar relevant field. We know that there are many paths that may have led you to the intersection of Design and Data Science, so we are flexible on the specific area of study so long as there is a strong educational foundation to your career

+ A strong background in statistics and machine learning ? you should be self-directed when it comes to choosing an analysis approach given a research question and a dataset

+ Excellent working knowledge of experiment design (A/B tests)

+ Experience with a statistical programming language / package like R (preferred) or Python

+ A strong interest (bordering on obsession) with Design and User Experience. A key part of this role will be partnering with Design Researchers, so you should have a deep understanding and appreciation of the value they bring to the table, and an excitement to partner with them to tell more complete stories rooted in data

+ 5+ years of work experience in an applied research or data science setting

+ Excellent interpersonal, communication, negotiation and collaboration skills
*Qualifications**
Ability to meet Microsoft, customer and/or government security screening requirements are required for this role. These requirements include, but are not limited to the following specialized security screenings: Microsoft Cloud Background Check: This position will be required to pass the Microsoft Cloud Background Check upon hire/transfer and every two years thereafter.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
104,"About the teamZillow is looking for extraordinary Data Scientist to join a growing team on a mission to give consumers certainty and control when selling their home with a broad mission - build data science and machine learning products that will power the next stage of Zillows growth. In particular Zillow is launching a new venture with a focus on using our unparalleled data and view into housing markets to help build a world-class platform for real estate marketplace optimization. In the Zillow Offers (formally Instant Offers) product, Zillow buys homes directly from interested homeowners, thereby sparing them the tremendous stress and effort of selling. Instead, we take that upon ourselves by quickly preparing these homes for the market and re-selling them. This is a key initiative at Zillow as we aim to define the future of real estate.

Our team is tasked with absorbing dozens, sometimes billions, of rows of data from various sources, organizing them, analyzing them, and visualizing them to help inform both short- and long-term decision-making. Our structure is very flat and you will soon find yourself communicating directly with Senior Leadership. Each team member focuses on a cross-section of the Zillow Offers organization. This role will focus on asset management and risk.About the role

Once you're here, you'll work to make important, strategic decisions that influence the direction of the company. More specifically:
Dive into Zillow's internal and third party data (think Hive, Presto, SQL Server, Python, R, Tableau) to make strategic recommendations (e.g., improve underwriting assumptions, segmented home types, more accurate renovation forecasts).
Assist in the scoping and development of new underwriting practices. Compile and analyze data describing the performance of those initiatives (e.g., AB tests, pilots, incrementality tests).
Develop a common language and approach to analyzing and communicating information and insights across teams.
Create, maintain, and document a robust set of metrics to monitor day-to-day bug detection and long-term performance tracking.
Tell stories that describe analytical results and insights in meetings of all sizes with diverse audiences.
Consult with business partners and provide analytics oriented thought leadership across a variety of non-technical audiences to ensure that all levels of Zillow Group make data driven decisions.
Who you are

You will not shy away from complexity or uncertainty. You will develop a deep understanding of our mission, business models, and personas. We want you to use that intuition you've developed (both in business and real life) to find opportunities for growth and cultivate insights from our massive data sets. We're looking for a seasoned data scientist who has:
An undergraduate or Master's degree in a quantitative field (e.g. science, engineering, economics, quantitative finance, operations research, statistics, or similar) or demonstrable experience within data science and analytics.
2+ years of work experience involving quantitative data analysis and complex problem solving
Foundational analytical skills (demonstrated understanding of SQL, command of Excel, and experience using Tableau and R/Python)
A proficient understanding of real estate investment metrics
1-2 years experience in a highly analytical role in a financial services or technology setting with experience in financial modeling
Strong written, verbal, and visual communication skills to concisely communicate in a way that provides context, offers insights, and minimizes misinterpretation.
The skills to work cross-functionally and push business partners to focus on realistic goals and projects.
Get to know usZillow Group houses a portfolio of the largest and most vibrant real estate and home-related brands on the web and mobile. Our mission is to build the largest, most trusted and vibrant home-related marketplace in the world.

Zillow Group is owned, fueled and grown by innovators who help people make better, smarter decisions around all things home. We encourage one another at every level, and our efforts are supported by employee-driven, world-class benefits that enable us to enjoy our lives outside the office while building fulfilling careers that impact millions of individuals every day.

Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know."
105,"Data & Applied Scientist 2 What if your job description were simply, make tomorrow better? That is the essence of roles within our Bing Team. Every day, we bring an insatiable curiosity to the table, challenging ourselves to reimagine what is and what can be. We build on what has come before to create what is next. We drive machine intelligence. We help shape the future. We empower billions of people around the globe. Applied Scientist 2 Since Bing launched in June of 2009, the search world has changed for the better. We are helping people break free from search overload and enabling them to make decisions with Bings powerful, friendly tools. We are attracting new users and changing how people think about Microsoft and Search. We have a long road ahead and we need your help! Bing is the beating heart of the Microsoft Artificial Intelligence (AI) movement. Applied Scientist 2 Within bing we are the Query formulation relevance team working on suggestions for bing.com, windows 10 and Edge. Key to our continued success in this hypercompetitive space is taking enormous volumes of data and turning them into useful, actionable information to drive increased user engagement through great Bing features and improvements. You will work with great engineers and applied scientists with a mission to save user effort to get to the information they need. We are talking petabytes of data about how searches succeed, how they fail, and how we can improve Bing and its partners. You will engage very closely with other key partner teams that are dependent on our platform and experiences, to drive end-to-end scenario helping our user growth. This position offers great career-growth potential as well as the impact and visibility across the entire Bing organization. Being at the very core of Bing engineering, it also offers great exposure to the latest software and hardware technology trends in the search industry Applied Scientist 2 Data Scientist 2 Current position enables you to be part of the evolving intelligent Bing search where you will be responsible for Implementing ML Techniques to improve suggestions relevance Developing data ingestion, processing and data serving solutions using C# Analyzing A/B experiments and make data-driven decisions Machine Learning/AI/Natural Language Processing (NLP) to develop scalable backend data platform to enable various experiences Productionalizing the ML model and techniques within the Bing Autosuggest stack A successful candidate will have the following qualifications: Required Qualifications: 2+ years of professional experience in classical ML techniques 2+ years of experience in deep learning 3+ years of experience with production systems BS in CS, EE, Math, Statistics, Physics or related fields required Preferred Qualifications: Understanding of MVC/MVVM architecture"
106,"About the teamZillow Group is currently seeking a Data Scientist to join the Decision Science team in our Seattle office. Our team is tasked with absorbing billions of rows of data from dozens of sources, organizing them, analyzing them, and visualizing them to help inform both short- and long-term decision-making.

Our structure is very flat and you will soon find yourself communicating directly with Senior Leadership. Each team member focuses on a cross-section of the Zillow Group community. Below are some of the areas in which our Data Scientists focus their energy.

Business - Build data-driven insights to fuel the future of each of Zillow Groups businesses (e.g., Agent, Rentals, New Construction). Find opportunities for innovation and assess performance of current initiatives.

Marketing - Develop strategies for B2C and B2B marketing efforts through a wide range of marketing channels and measure their performance.

Product - Analyze how our consumers are interacting with our web and app products to ensure we are providing them with a delightful experience.

Sales - Analyze the intersection of human behavior, incentive structures, and sales process to build a more efficient sales force.

Pricing - Develop and implement pricing strategies that deliver the best value possible for our clients (Premier Agents, Lenders, Landlords, etc).

Tools - Create data-focused information products from billions of data points we collect every single day for internal and external clients.About the role

Once you're here, you'll work to make important, strategic decisions that influence the direction of the company. More specifically:
Dive into Zillow's internal and third party data (think Hive, Presto, SQL Server, Redshift, Python, Mode Analytics, Tableau, R) to make strategic recommendations (e.g., personalized user flows, segmented marketing audiences, more accurate pricing forecasts).
Assist in the scoping and development of new product features and business initiatives. Compile and analyze data describing the performance of those initiatives (e.g., AB tests, pilots, incrementality tests).
Develop a common language and approach to analyzing and communicating information and insights across teams.
Create, maintain, and document a robust set of metrics to monitor day-to-day bug detection and long-term performance tracking.
Tell stories that describe analytical results and insights in meetings of all sizes with diverse audiences.
Consult with business partners and provide analytics-oriented thought leadership across a variety of non-technical audiences to ensure that all levels of Zillow Group make data-driven decisions.
Who you are

You will not shy away from complexity or uncertainty. You will develop a deep understanding of our mission, business models, and personas. We want you to use that intuition you've developed (both in business and real life) to find opportunities for growth and cultivate insights from our massive data sets. We're looking for a seasoned data scientist who has:
An undergraduate or Master's degree in a quantitative field (e.g. science, engineering, economics, finance, statistics, or similar) or demonstrable experience within data science and analytics.
2+ years of work experience involving quantitative data analysis and complex problem solving (preferably focused on consumer-facing internet products).
Foundational analytical skills (demonstrated understanding of SQL, command of Excel, and experience using R and/or Python) and is a Tableau pro.
Experience directly querying multi-terabyte-sized data sets (e.g. with Hive and Presto) including clickstream data and raw data ingested from non-standard platforms (e.g., homegrown systems).
An understanding of concepts, terminology, and measurement issues related to web traffic.
Strong written, verbal, and visual communication skills to concisely communicate in a way that provides context, offers insights, and minimizes misinterpretation.
The skills to work cross-functionally and push business partners to focus on realistic goals and projects.
Get to know us

Zillow Group is owned, fueled and grown by innovators who help people make better, smarter decisions around all things home. We encourage one another at every level, and our efforts are supported by employee-driven, world-class benefits that enable us to enjoy our lives outside the office while building fulfilling careers that impact millions of individuals every day.

Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know."
107,"Job Description
Amazon.com Services, Inc. is looking for a motivated individual with strong analytical skills and practical experience to join our Modeling and Optimization team. We are hiring specialists at all levels into our scientific team with expertise in machine learning, network and combinatorial optimization, statistical inference, algorithm design, and/or control theory.

Amazon is growing rapidly and because we are driven by faster delivery to customers, a more efficient supply chain network, and lower cost of operations, our main focus is in the development of analytical strategic models and automation tools fed by our massive amounts of available data. You will be responsible for building these models/tools that improve the economics of Amazon’s worldwide fulfillment networks in North America, European, and Japan, China, and India as Amazon increases the speed and decreases the cost to deliver products to customers. You will identify and evaluate opportunities to reduce variable costs by improving fulfillment center processes, transportation operations and scheduling, and the execution to operational plans. You will also improve the efficiency of capital investment by helping the fulfillment centers to improve storage utilization and the effective use of automation. Finally, you will help create the metrics to quantify improvements to the fulfillment costs (e.g., transportation and labor costs) resulting from the application of these optimization models and tools.

The ideal candidate will have good communication skills with both technical and business people with ability to speak at a level appropriate for the audience.

Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation
Basic Qualifications
* Masters Degree in Operation Research, Transportation Engineering, Industrial Engineering, Statistics, Applied Mathematics, Computer Science or related field plus 5+ years of industry experience OR Ph.D in Operation Research, Transportation Engineering, Industrial Engineering, Statistics, Applied Mathematics, Computer Science or a related field

* Experience implementing algorithms, tailored to particular business needs and tested on large data sets.

* Experience developing optimization models for business decisions

* Experience writing scripts (Perl, Python, Ruby) to manipulate data and developing software in traditional programming languages (C/C++, Java).
Preferred Qualifications
* Ph.D and at least 2-3 years work experience working as a member of an analysis team in the transportation or closely related field.

* Practical experience developing large-scale decision support tools based on optimization technology (e.g., LP, MIP, NLP, etc...) for planning and execution support (e.g., staff scheduling, vehicle routing, facility location)

* Familiarity with data visualization (e.g. R, ggplot, ggobi, Tableau)

* Familiarity with forecasting and time series analysis

* Familiarity with machine learning techniques and technologies

* Familiarity with large-scale simulation modeling



Apply Now at Amazon"
108,"Overall Job Purpose:

This role will be located in Seattle, WA. Reporting to the Director Analytics & Consulting Services and working closely with the Global Client Lead, Project Manager and Sales Manager, the (Senior) Data Scientist develops and runs analytical models deploying various Machine Learning algorithms and Advanced Analytics tools. This also includes pre-sales support (consultative selling) in close collaboration with our sales team.

The (Senior) Data Scientist acts as the key point of contact for all data driven questions of our clients in order to deliver Financial Advanced Analytics projects along the Order-2-Cash process. Key areas:

· Create a data-driven culture

· Ensure the client data is relevant, connected, accurate and consumable

· Utilize machine Learning & Advanced Analytics capabilities to predict what will/could happen, and identify risks

· Improve Operational Excellence of our clients: Continuously improve the speed, efficiency and accuracy of capabilities, processes, and solutions

The (Senior) Data Scientist is part of the Arvato Analytics & Consulting Services team that supports through Data Intelligence Services, Advanced Applications & Analytics services, Reporting Services and Program Management Services in an onshore/offshore mix with our partner.
Job Duties
Provide data-driven business insights and analytics support along the customer life cycle/order-2-cash process
Work closely with the Analytics & Consulting Services team to spearhead and implement business analytics models and to deliver end-to-end client requests that are of high quality and in a timely fashion
Develop innovative and effective approaches to solve client's analytics problems and communicate results and methodologies
Apply advanced statistical and predictive modeling techniques to build, maintain, and improve on multiple real-time decision systems
Identify what data is available and relevant, including internal and external data sources, leveraging new data collection processes such as smart meters and geo-location information or social media
Perform extensive data pulls and create datasets for business users to enable clients to build self-serving reports and dashboards
Develop and maintain reports and dashboards as per client requests and meet client expectations
Proactively mine and analyze data in order to find meaningful patterns and derive process improvements in order to discuss results with the Business Consultant and/or client
Develop and maintain structured process documents, methodology documents and data dictionaries
Provide necessary documentation to enable business users to build self-serving reports and dashboards wherever necessary
Acclimatize to new technologies and situations with ease, completing multiple assignments simultaneously while maintaining high standards

Key Result Areas
Lead data discovery processes with client stakeholders to identify the business requirements and the expected outcome to be able to build impactful analytical models
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Create dashboards for visualizing the data
Provide and support with meaningful presentations about data insights and related business impact
Transfer data insights into business related statements and respective impact
Formulate and document based on use case specifications, business rules and requirements
Effective planning skills to successfully manage multiple priorities and assignments

Person Spec and Competencies (Please read in conjunction with the Key Result Areas)
Essential Qualifications, Training and Experience:
Bachelor’s/Master’s/PhD degree in Math, Computer Science, Information Systems, Machine Learning, Statistics, Econometrics, Applied Mathematics, Operations Research or related technical degrees
Strong footprint (5+ five) in analytical modeling and developing statistical models as well as applying machine learning algorithms
Highly proficient and experience in working on data modeling projects using e.g. SAS, R, Python, Azure ML, KNIME, SQL
Experience working in projects following Agile software development life-cycle methodologies
Desirable Qualifications, Training and Experience:
Strong experience in SQL, R, Python, SAS, Tableau, Power BI or equivalent tools
Background in Statistics/Operations research
Personal Attributes required:
Highly customer focused with excellent analytical and problem-solving skills
Highly motivated self-starter who is innovative and quick to learn
Excellent communication and interpersonal skills

“Arvato Financial Solutions is an Equal Opportunities Employer, Embracing Diversity in the workplace”

Disclaimer

The above statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not to be construed as an exhaustive list of all responsibilities, duties, and skills required of personnel so classified. All personnel may be required to perform duties outside of their normal responsibilities from time to time, as needed.

- provided by Dice

Bachelors/Masters/PhD Strong footprint (5+ five) in analytical modeling and developing statistical models SAS, R, Python, Azure ML, KNIME, SQL, Tableau, Power BI"
109,"Lead Data Scientist
Join an expert team that is breaking records in real-time Big Data performance
Change the way the world manipulates and analyzes large quantities of data
Address our customer’s data pain points and delight them with your solutions
SpaceCurve is building Big Data analytic solutions focused on spatial, temporal, sensor and graph applications. Targeting mobile, life sciences, oil and gas and government markets. Our unique database technology can power real-time models of reality. We are enabling completely new applications and radical enhancements to existing applications.

The role:

Our product is a distributed database and data platform purpose-built to parallelize storage and retrieval of realtime geospatial data on clusters of shared-nothing commodity hardware. We’re looking for a Principal Data Scientist with the vision and hands-on skills to drive early adoption as a key person in the core technical team. You will be working to fuse a wide variety of feeds and data sources, including geospatial/geotemporal, vehicle and industrial sensors, social networks, and place and personal data.

Your recent experience must be directly with Terabyte class datasets or larger. You should be adept at managing the full life cycle of massive datasets including ETL, EDA, cleaning, model building and deployment. You should be thoughtful and knowledgeable about algorithm performance and maximizing throughput. You should be very solid with open source and/or commercial technologies like Linux/Unix, SQL, Python and R/S-PLUS, ESRI, Octave/MATLAB, SciPy, NumPy or SAS.

To be considered for our Lead Data Scientist, you will need:
5+ years in the field; you’ve been a data scientist longer than the term’s been in vogue.
2+ years of recent experience working with terabyte or larger datasets.
Vision! You must be able to design, articulate and create something new. You will be a key member of the team that anticipates, researches and understands the needs of stakeholders like data suppliers, data consumers, privacy advocates, regulatory agencies, general public, etc.
Advanced degree in Math, Statistics, CS, a related field or equivalent experience.
Hands-on, current experience with data analysis life cycle tools.
Practical experience working on Linux.
Python and/or other popular scripting languages.
SQL and ETL tools – you must be a strong SQL programmer.
Additionally, our ideal candidate will possess:
Broad exposure to data analysis in multiple contexts with deep expertise in at least one.
Experience with multiple database technologies (relational, EDW, NoSQL).
Experience with geospatial and/or graph analytic databases.
Experience with streaming APIs and SOA products.
Experience with real-time analytics (e.g. mobile marketing).
EDA and modeling tools.
DBMS operations, security, administration and multi-tenancy.
Business & contractual aspects of working with large data suppliers.
A good cultural fit on our team is a professional and results-oriented individual that can initiate and complete tasks under tight deadlines and changing priorities. Flexibility with hours and workload is key!

About SpaceCurve

Our product is revolutionary. Many have said it, but seldom is it true.

SpaceCurve is a well-funded startup on our way to changing the economics, nature, usefulness and significance of Big Data across many market segments. The next ten years will bring explosive growth in mobility and location-based services, and increasing volumes of geospatial and sensor data will drive demand for real-time models of reality. SpaceCurve is uniquely positioned at the intersection of the growing geospatial and intelligent-location trends that are creating immense opportunities for the rapid implementation of its technologies.

We are smart, engaged and passionate about what we do. We believe world-class employees should be rewarded as such. Our employees are offered competitive wages, 401K, premium insurance benefits, flexible PTO, early stage stock options and more!

Apply now or contact us for a confidential discussion!"
